epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,5155.34,1.14691,0.75435,1.07218,0.7857,0.68244,0.74653,0.45842,1.31916,0.827,1.13362,0.000876386,0.000876386,0.000876386
99,5207.23,1.14806,0.75418,1.06711,0.80656,0.65767,0.74184,0.45467,1.30727,0.83091,1.12535,0.000848955,0.000848955,0.000848955
100,5261.66,1.14832,0.75011,1.07082,0.81959,0.66246,0.74928,0.45945,1.27487,0.81411,1.11555,0.000821822,0.000821822,0.000821822
101,5313.63,1.14042,0.74249,1.06663,0.78347,0.68349,0.7505,0.4658,1.27935,0.79861,1.11573,0.000795,0.000795,0.000795
102,5366.24,1.12206,0.72928,1.06095,0.77982,0.69401,0.74996,0.46485,1.27934,0.81063,1.11369,0.0007685,0.0007685,0.0007685
103,5418.42,1.1475,0.74132,1.07189,0.81502,0.66772,0.75033,0.46662,1.2616,0.8048,1.10074,0.000742335,0.000742335,0.000742335
104,5469.8,1.1225,0.73317,1.06031,0.82517,0.67192,0.75444,0.46796,1.27666,0.79199,1.11158,0.000716514,0.000716514,0.000716514
105,5521.63,1.1206,0.72659,1.0597,0.8023,0.67423,0.75073,0.4631,1.29151,0.81021,1.12021,0.000691051,0.000691051,0.000691051
106,5574.16,1.1366,0.734,1.06622,0.78718,0.69085,0.75371,0.46479,1.27659,0.80754,1.11189,0.000665956,0.000665956,0.000665956
107,5625.26,1.12441,0.73491,1.05826,0.79467,0.70347,0.76151,0.46686,1.27668,0.78963,1.11674,0.000641239,0.000641239,0.000641239
108,5677.56,1.11213,0.72201,1.05561,0.78412,0.69894,0.75972,0.46866,1.2765,0.77948,1.11923,0.000616913,0.000616913,0.000616913
109,5728.87,1.12864,0.73465,1.06519,0.79402,0.70242,0.7589,0.46928,1.28434,0.78292,1.1197,0.000592987,0.000592987,0.000592987
110,5781.21,1.10555,0.71247,1.05158,0.81818,0.67191,0.75369,0.46546,1.27802,0.7954,1.11574,0.000569472,0.000569472,0.000569472
111,5834.19,1.10686,0.70824,1.04889,0.76652,0.69733,0.7468,0.46247,1.29484,0.81476,1.12503,0.000546378,0.000546378,0.000546378
